,imdb_title_id,title,tags
1016,tt0021594,Alam Ara,"['Drama', 'Fantasy', 'ArdeshirIrani', 'JosephDavid', 'JosephDavid', 'MasterVithal', 'Zubeida', 'Jillo', 'Sushila', 'PrithvirajKapoor', 'Elizer', 'W.M.Khan', 'JagdishSethi', 'L.V.Prasad', 'A', 'period', 'fantasy', 'that', 'told', 'of', 'the', 'ageing', 'king', 'of', 'Kamarpur', 'and', 'his', 'two', 'rival', 'queens', 'Navbahar', 'and', 'Dilbahar', 'and', 'their', 'rivalry', 'when', 'a', 'fakir', 'predicts', 'that', 'Navbahar', 'will', 'bear', 'the', ""king's"", 'heir.', '...']"
2308,tt0027256,Achhut Kanya,"['Drama', 'Musical', 'Romance', 'FranzOsten', 'J.S.Casshyap', 'NiranjanPal', 'DevikaRani', 'AshokKumar', 'Monorama', 'Pramila', 'KamtaPrasad', 'KusumKumari', 'Anwari', 'P.F.Pithawala', 'KishoriLal', 'Ishrat', 'N.M.Joshi', 'Khosla', 'MumtazAli', 'SunitaDevi', 'NajamNaqvi', 'An', '""untouchable""', 'girl', 'and', 'a', 'Brahmin', 'boy', 'fall', 'in', 'love', 'but', 'the', 'strict', 'caste', 'system', 'and', 'the', 'gossip', 'of', 'the', 'villagers', 'threaten', 'to', 'keep', 'them', 'apart.']"
2514,tt0028217,Sant Tukaram,"['Biography', 'VishnupantGovindDamle', 'SheikhFattelal', 'ShivramVashikar', 'VishnupantPagnis', 'Gauri', 'B.Nandrekar', 'ShankarKulkarni', 'KusumBhagwat', 'ShantaMajumdar', 'MasterChhotu', 'PanditDamle', 'KakaBhagvat', 'SriBhagwat', 'This', 'classic', 'film', 'chronicles', 'the', 'life', 'of', 'Tukaram', '(17th', 'C.)', 'one', 'of', ""Maharashtra's"", 'most', 'popular', 'saint', 'poets', 'activating', 'the', '20th-C.', 'resonances', 'of', 'his', 'turning', 'away', 'from', 'courtly', 'Sanskrit', '...']"
5736,tt0040067,Aag,"['Musical', 'Romance', 'RajKapoor', 'InderRajAnand', 'InderRajAnand', 'Nargis', 'KaminiKaushal', 'NigarSultana', 'KamalKapoor', 'Indumati', 'PremNath', 'RajKapoor', 'VishwaMehra', 'ShreeRam', 'Brijmohan', 'M.C.Kapoor', 'Pushpa', 'Shankar', 'Sandow', 'S.Sethi', 'Failing', 'to', 'move', 'on', 'from', 'his', 'loss', 'of', 'childhood', 'love', 'a', 'man', 'turns', 'to', 'his', 'passion', 'for', 'theater.']"
6072,tt0041123,Andaz,"['Musical', 'Drama', 'Crime', 'MehboobKhan', 'ShamsLucknowi', 'S.AliRaza', 'Nargis', 'DilipKumar', 'V.H.Desai', 'Cuckoo', 'RajKapoor', 'Murad', 'Anwari', 'AmirBanu', 'Jamshedji', 'Abbas', 'Wasker', 'Abdul', 'Dyke', 'Dilip', 'loves', 'Neena', 'but', 'she', 'treats', 'him', 'only', 'as', 'a', 'friend.', 'Later', 'she', 'gets', 'married', 'to', 'Rajan.', 'When', 'he', 'comes', 'to', 'know', 'that', 'Dilip', 'once', 'loved', 'Neena', 'he', 'misunderstands', 'them', 'and', 'things', 'change', 'a', 'lot', 'then.']"
6082,tt0041161,Barsaat,"['Drama', 'Romance', 'Musical', 'RajKapoor', 'RamanandSagar', 'RamanandSagar', 'Nargis', 'RajKapoor', 'PremNath', 'K.N.Singh', 'Cuckoo', 'Nimmi', 'B.M.Vyas', 'RatanGaurang', 'VishwaMehra', 'DollyBaldev', 'B.N.Khera', 'PrakashArora', 'PushpaBimla', 'MasterSandow', 'Pran', 'and', 'Gopal', 'fall', 'in', 'love', 'with', 'village', 'girls', 'while', 'on', 'a', 'holiday.', 'After', 'returning', 'home', 'Gopal', 'continues', 'to', 'flirt', 'with', 'other', 'girls.', 'But', 'Pran', 'realizes', 'that', 'he', 'has', 'truly', 'fallen', 'in', 'love.']"
6233,tt0041619,Mahal,"['Drama', 'Horror', 'Mystery', 'KamalAmrohi', 'KamalAmrohi', 'AshokKumar', 'Madhubala', 'M.Kumar', 'Vijayalaxmi', 'KanuRoy', 'S.Nazir', 'EruchTarapore', 'SheelaNaik', 'LeelaPandey', 'Neelam', 'Kaneez', 'Jagannath', 'Mohsin', 'LaxmanRao', 'S.A.Baker', 'A', 'young', 'lawyer', 'is', 'involved', 'with', 'a', 'ghostly', 'woman', 'in', 'his', 'new', 'house', 'where', 'the', 'builder', 'and', 'his', 'fiancée', 'died', 'shortly', 'after', 'it', 'was', 'built.']"
6742,tt0043306,Awaara,"['Drama', 'Musical', 'Romance', 'RajKapoor', 'KhwajaAhmadAbbas', 'KhwajaAhmadAbbas', 'RajKapoor', 'Nargis', 'PrithvirajKapoor', 'K.N.Singh', 'ShashiKapoor', 'Cuckoo', 'B.M.Vyas', 'LeelaMishra', 'BabyZubeida', 'LeelaChitnis', ""HoneyO'Brien"", 'OmPrakashMehra', 'Raju', 'Mansaram', 'Rajan', 'A', 'poor', 'young', 'man', 'named', 'Raj', 'joins', 'a', 'criminal', 'gang', 'to', 'feed', 'his', 'mother.', 'But', 'when', 'he', 'falls', 'in', 'love', 'with', 'Rita', 'he', 'decides', 'to', 'reform', 'himself', 'for', 'her.']"
6743,tt0043307,Baazi,"['Crime', 'Drama', 'Musical', 'GuruDutt', 'GuruDutt', 'BalrajSahni', 'DevAnand', 'GeetaBali', 'KalpanaKartik', 'RoopaVerman', 'K.N.Singh', 'JohnnyWalker', 'KrishanDhawan', 'RashidKhan', 'Habib', 'Srinath', 'RashidAhmed', 'AbuBaker', 'NirmalKumar', 'An', 'ace', 'gambler', 'is', 'forced', 'to', 'join', 'a', 'gambling', 'syndicate', 'in', 'order', 'to', 'pay', 'for', 'the', 'treatment', 'of', 'his', 'ill', 'sister', 'and', 'is', 'framed', 'for', 'murder', 'when', 'he', 'expresses', 'his', 'desire', 'to', 'get', 'out.']"
6972,tt0043908,Pathala Bhairavi,"['Action', 'Adventure', 'Family', 'KadiriVenkataReddy', 'KamalakaraKameshwaraRao', 'PingaliNagendraRao', 'TarakaRamaRaoNandamuri', 'S.V.RangaRao', 'MalathiK.', 'SeetaRamaAnjaneyuluChilakalapudi', 'RelangiVenkatramaiah', 'Balakrishnan', 'Padmanabham', 'KamalaDeviT.G.', 'Lakshmikantam', 'HemalathammaRao', 'Girija', 'SurabhiKamalabai', 'Chitti', 'A', 'poor', 'man', 'in', 'love', 'with', 'a', 'princess', 'is', 'persuaded', 'by', 'an', 'evil', 'sorcerer', 'to', 'help', 'him', 'get', 'the', 'blessing', 'of', 'a', 'Goddess.']"
